epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,258.14,0.7962,0.6198,0.00833,0.95383,0.95572,0.99194,0.83042,0.74361,0.49705,0.00822,0.000827187,0.000827187,0.000827187
43,263.662,0.76447,0.58855,0.00778,0.97694,0.96543,0.99329,0.82807,0.71663,0.45949,0.00793,0.000816875,0.000816875,0.000816875
44,269.205,0.80692,0.55871,0.00781,0.95941,0.93021,0.98849,0.82219,0.76979,0.49431,0.00868,0.000806562,0.000806562,0.000806562
45,274.762,0.78985,0.58314,0.00795,0.94542,0.96591,0.99217,0.82004,0.71541,0.45229,0.00787,0.00079625,0.00079625,0.00079625
46,280.317,0.7972,0.60026,0.00816,0.96013,0.96965,0.99345,0.79976,0.75477,0.44467,0.00861,0.000785938,0.000785938,0.000785938
47,285.84,0.77289,0.57323,0.00784,0.96361,0.97831,0.99382,0.82098,0.72689,0.40589,0.00781,0.000775625,0.000775625,0.000775625
48,291.298,0.76485,0.57672,0.00761,0.98106,0.9549,0.99266,0.79581,0.80931,0.42495,0.00976,0.000765313,0.000765313,0.000765313
49,296.794,0.7579,0.57165,0.00758,0.96793,0.9922,0.995,0.81782,0.76912,0.38591,0.00913,0.000755,0.000755,0.000755
50,302.403,0.77313,0.52515,0.00772,0.92481,0.99706,0.98963,0.811,0.77659,0.43972,0.00832,0.000744688,0.000744688,0.000744688
51,307.906,0.72347,0.48686,0.00727,0.88302,0.97385,0.99006,0.82852,0.69756,0.43637,0.0078,0.000734375,0.000734375,0.000734375
52,313.44,0.76007,0.4897,0.00752,0.93881,0.97298,0.99355,0.82588,0.7196,0.39906,0.00814,0.000724062,0.000724062,0.000724062
53,318.932,0.79007,0.50728,0.00819,0.94837,0.97014,0.98912,0.82994,0.69212,0.3967,0.00758,0.00071375,0.00071375,0.00071375
54,324.46,0.7573,0.48504,0.00745,0.96499,0.99042,0.995,0.84056,0.70168,0.37215,0.00794,0.000703437,0.000703437,0.000703437
55,330.069,0.72268,0.49735,0.00755,0.93992,0.98372,0.99348,0.85165,0.68296,0.38314,0.00731,0.000693125,0.000693125,0.000693125
56,335.624,0.72905,0.44028,0.00737,0.95098,0.98547,0.99158,0.83323,0.69594,0.37607,0.00772,0.000682813,0.000682813,0.000682813
57,341.183,0.71145,0.48832,0.00736,0.97848,0.97468,0.99412,0.86073,0.67778,0.37599,0.00745,0.0006725,0.0006725,0.0006725
58,346.729,0.70552,0.40909,0.00744,0.96547,0.97263,0.99308,0.86016,0.67351,0.36912,0.00744,0.000662188,0.000662188,0.000662188
59,352.264,0.69678,0.41655,0.00703,0.9695,0.98129,0.99408,0.80535,0.73623,0.35438,0.0082,0.000651875,0.000651875,0.000651875
60,357.842,0.72185,0.42891,0.00719,0.97832,0.9767,0.99458,0.80466,0.72167,0.36836,0.00837,0.000641562,0.000641562,0.000641562
61,363.362,0.73974,0.46245,0.00727,0.97523,0.97211,0.99393,0.79356,0.7435,0.38275,0.00828,0.00063125,0.00063125,0.00063125
62,368.88,0.70608,0.47088,0.00711,0.95363,0.99107,0.99333,0.83406,0.68979,0.33838,0.00779,0.000620938,0.000620938,0.000620938
63,374.364,0.70425,0.43421,0.00727,0.93887,1,0.995,0.83712,0.69439,0.32783,0.00796,0.000610625,0.000610625,0.000610625
64,379.793,0.67271,0.3921,0.00708,0.92382,0.95629,0.992,0.79903,0.73271,0.37426,0.00833,0.000600313,0.000600313,0.000600313
65,385.283,0.7293,0.43246,0.00738,0.9434,0.95777,0.99239,0.81568,0.70089,0.35153,0.00785,0.00059,0.00059,0.00059
66,390.808,0.71711,0.45711,0.00706,0.99227,0.95153,0.995,0.83774,0.6629,0.31247,0.00707,0.000579688,0.000579688,0.000579688
67,396.398,0.67535,0.40671,0.00703,0.93499,0.98955,0.99443,0.82601,0.67463,0.32633,0.00764,0.000569375,0.000569375,0.000569375
68,401.92,0.68603,0.42826,0.00661,0.96446,0.94039,0.99414,0.8128,0.68393,0.34063,0.00747,0.000559062,0.000559062,0.000559062
69,407.451,0.675,0.42372,0.00689,0.90964,0.97905,0.98994,0.82773,0.6481,0.35318,0.00707,0.00054875,0.00054875,0.00054875
70,412.986,0.68473,0.40502,0.00689,0.96517,0.92324,0.98992,0.80289,0.72945,0.36423,0.00808,0.000538438,0.000538438,0.000538438
71,418.605,0.72467,0.41417,0.00745,0.95028,0.97009,0.99035,0.84626,0.64223,0.32807,0.00694,0.000528125,0.000528125,0.000528125
72,424.144,0.69902,0.43857,0.00712,0.96879,0.96619,0.99016,0.82691,0.65635,0.32321,0.00711,0.000517813,0.000517813,0.000517813
73,429.585,0.69039,0.41493,0.00694,0.95286,0.96002,0.99327,0.8528,0.66618,0.32416,0.00734,0.0005075,0.0005075,0.0005075
74,435.134,0.6801,0.44231,0.00687,0.91942,0.99975,0.99399,0.85564,0.67948,0.30821,0.0071,0.000497188,0.000497188,0.000497188
75,440.74,0.68259,0.42501,0.00644,0.98742,0.97864,0.99412,0.82773,0.71024,0.31543,0.00774,0.000486875,0.000486875,0.000486875
76,446.299,0.69486,0.41013,0.00671,0.96954,0.99068,0.99272,0.84225,0.64438,0.30788,0.00687,0.000476562,0.000476562,0.000476562
77,451.876,0.66666,0.41183,0.00689,0.94114,0.99247,0.99459,0.8345,0.69892,0.30941,0.00788,0.00046625,0.00046625,0.00046625
