epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0782,0.89665,8.79713,0.00984,0.01531,1,0.15601,0.13053,0.5723,11.7029,0.00614,0.0003125,0.0003125,0.0003125
2,39.3691,0.88502,7.42444,0.01011,0.00917,1,0.40922,0.29286,0.75376,11.4261,0.00806,0.000632241,0.000632241,0.000632241
3,45.4979,0.93942,6.53616,0.01025,0.84416,0.13393,0.64575,0.48766,0.84555,10.6036,0.00988,0.000946619,0.000946619,0.000946619
4,51.623,0.93513,6.12986,0.0104,0.47369,0.61676,0.73152,0.54868,1.0783,9.50347,0.01274,0.00121906,0.00121906,0.00121906
5,57.6835,0.94997,5.49536,0.01087,0.63267,0.69341,0.73461,0.53536,0.97518,7.90054,0.01109,0.00120875,0.00120875,0.00120875
6,63.7611,0.97452,4.74055,0.01029,0.7662,0.73052,0.86979,0.64227,1.11259,6.28708,0.01329,0.00119844,0.00119844,0.00119844
7,69.8039,0.984,4.15409,0.01107,0.75005,0.82227,0.91318,0.64276,1.32905,5.88078,0.01535,0.00118812,0.00118812,0.00118812
8,75.9192,0.95386,3.92017,0.01034,0.80293,0.91799,0.92531,0.73877,0.82396,4.57657,0.01018,0.00117781,0.00117781,0.00117781
9,82.0273,0.9214,3.14545,0.01029,0.92995,0.91906,0.96986,0.73435,1.1006,4.1146,0.01262,0.0011675,0.0011675,0.0011675
10,88.1621,0.89878,2.80547,0.00982,0.93802,0.92453,0.98368,0.75474,1.15587,3.47504,0.01355,0.00115719,0.00115719,0.00115719
11,94.3395,0.91055,2.526,0.01002,0.77121,0.95761,0.97436,0.7777,0.88053,2.82454,0.01019,0.00114688,0.00114688,0.00114688
12,100.475,0.93439,2.20721,0.01005,0.91772,0.88351,0.97505,0.78902,0.86537,2.50848,0.01063,0.00113656,0.00113656,0.00113656
13,106.636,0.91345,2.09588,0.01057,0.90706,0.95221,0.98297,0.78313,0.84405,2.2273,0.01021,0.00112625,0.00112625,0.00112625
14,112.712,0.87861,1.74367,0.00983,0.87858,0.94549,0.98133,0.83422,0.73048,1.9363,0.00838,0.00111594,0.00111594,0.00111594
15,118.755,0.84973,1.63158,0.00977,0.88068,0.90529,0.98044,0.76054,0.89603,1.78782,0.01052,0.00110563,0.00110563,0.00110563
16,124.822,0.85624,1.51418,0.00917,0.97788,0.97321,0.99388,0.78862,0.93984,1.56461,0.01135,0.00109531,0.00109531,0.00109531
17,130.846,0.89928,1.41909,0.00996,0.83901,0.91986,0.98105,0.80945,0.77367,1.49279,0.00951,0.001085,0.001085,0.001085
18,136.91,0.83709,1.33706,0.00953,0.92764,0.97237,0.98939,0.79908,0.84856,1.45506,0.00972,0.00107469,0.00107469,0.00107469
19,142.969,0.89288,1.2099,0.00964,0.89306,0.97344,0.99367,0.84659,0.78079,1.19615,0.00845,0.00106437,0.00106437,0.00106437
20,149.071,0.91834,1.14639,0.00983,0.94826,0.93257,0.98708,0.78397,0.90837,1.20573,0.01069,0.00105406,0.00105406,0.00105406
21,155.087,0.84108,0.99736,0.00915,0.9443,0.94459,0.98884,0.79693,0.82845,1.01086,0.00934,0.00104375,0.00104375,0.00104375
22,161.185,0.88902,0.99354,0.00989,0.93889,0.95105,0.98819,0.77986,0.86821,0.92503,0.01019,0.00103344,0.00103344,0.00103344
23,167.221,0.81625,0.94477,0.00916,0.88008,0.90504,0.9864,0.82729,0.70194,0.88061,0.00806,0.00102312,0.00102312,0.00102312
24,173.293,0.85627,0.93352,0.00895,0.97047,0.94124,0.98798,0.81352,0.79633,0.78534,0.009,0.00101281,0.00101281,0.00101281
25,179.341,0.84509,0.8704,0.00853,0.95186,0.98285,0.98844,0.79724,0.88117,0.79587,0.0099,0.0010025,0.0010025,0.0010025
26,185.47,0.81367,0.8009,0.0087,0.94069,0.99404,0.99316,0.83376,0.8103,0.68436,0.00883,0.000992188,0.000992188,0.000992188
27,191.531,0.83218,0.77001,0.0094,0.95894,0.94323,0.98953,0.82778,0.80625,0.69012,0.0094,0.000981875,0.000981875,0.000981875
28,197.555,0.81782,0.7951,0.00858,0.98586,0.94211,0.99368,0.79587,0.81697,0.63979,0.00904,0.000971562,0.000971562,0.000971562
29,203.571,0.78747,0.72645,0.00837,0.93335,0.99142,0.99159,0.79707,0.81317,0.61176,0.00935,0.00096125,0.00096125,0.00096125
30,209.578,0.81618,0.74517,0.00887,0.93099,0.92981,0.99041,0.83149,0.74025,0.60591,0.00838,0.000950937,0.000950937,0.000950937
31,215.54,0.77047,0.70367,0.00871,0.97687,0.91744,0.99061,0.84376,0.77868,0.57206,0.00837,0.000940625,0.000940625,0.000940625
32,221.59,0.81457,0.62663,0.00881,0.93905,0.96989,0.98959,0.806,0.79482,0.57311,0.00886,0.000930313,0.000930313,0.000930313
33,227.588,0.80549,0.67367,0.00811,0.94141,0.8909,0.98638,0.82138,0.7052,0.64387,0.00771,0.00092,0.00092,0.00092
34,233.606,0.81019,0.66098,0.00809,0.93278,0.98917,0.99237,0.79325,0.84164,0.55201,0.00956,0.000909688,0.000909688,0.000909688
35,239.559,0.78299,0.60065,0.0084,0.95493,0.97386,0.98848,0.81627,0.73878,0.48938,0.00812,0.000899375,0.000899375,0.000899375
36,245.564,0.77426,0.57241,0.00836,0.98536,0.93897,0.9892,0.79298,0.82537,0.49519,0.00952,0.000889062,0.000889062,0.000889062
37,251.661,0.83808,0.62743,0.00878,0.96104,0.90437,0.98624,0.77,0.98189,0.56488,0.01041,0.00087875,0.00087875,0.00087875
38,257.729,0.7785,0.61376,0.00809,0.97352,0.88211,0.98943,0.80999,0.81548,0.50894,0.00952,0.000868437,0.000868437,0.000868437
39,263.768,0.7693,0.54083,0.00824,0.95312,0.88799,0.97592,0.79788,0.82778,0.48762,0.00938,0.000858125,0.000858125,0.000858125
