epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,277.287,0.85749,1.20522,0.01108,0.7138,0.6464,0.71413,0.60424,0.78406,1.18972,0.01455,0.000703961,0.000703961,0.000703961
43,283.487,0.86656,1.2181,0.01184,0.66965,0.58071,0.67377,0.5512,0.81973,1.23739,0.01439,0.000686277,0.000686277,0.000686277
44,289.715,0.85972,1.15251,0.01063,0.59959,0.71488,0.71594,0.59426,0.81795,1.18455,0.01496,0.000668593,0.000668593,0.000668593
45,295.932,0.81432,1.10612,0.01047,0.69403,0.72437,0.7591,0.61056,0.90938,1.2025,0.01652,0.000650909,0.000650909,0.000650909
46,302.157,0.83689,1.11416,0.01066,0.59857,0.7625,0.72133,0.59327,0.80437,1.21498,0.01384,0.000633226,0.000633226,0.000633226
47,308.421,0.82734,1.06288,0.01045,0.76473,0.73214,0.75344,0.63659,0.79071,1.17558,0.01364,0.000615542,0.000615542,0.000615542
48,314.591,0.79117,1.01795,0.01021,0.77727,0.73883,0.7882,0.65128,0.85353,1.07605,0.01494,0.000597858,0.000597858,0.000597858
49,320.763,0.76608,0.94732,0.01031,0.76094,0.71929,0.78742,0.66606,0.77587,0.93759,0.01334,0.000580174,0.000580174,0.000580174
50,326.986,0.7656,0.95627,0.00954,0.74428,0.80073,0.80062,0.68332,0.75899,0.97821,0.01293,0.00056249,0.00056249,0.00056249
51,333.195,0.81136,0.99922,0.01048,0.80107,0.77497,0.78568,0.64826,0.80566,0.9892,0.01354,0.000544806,0.000544806,0.000544806
52,339.376,0.78896,0.94816,0.00993,0.80674,0.74947,0.78482,0.65544,0.79673,1.01469,0.01407,0.000527122,0.000527122,0.000527122
53,345.467,0.73733,0.9009,0.00942,0.80983,0.7807,0.79158,0.66222,0.83338,0.95808,0.01484,0.000509438,0.000509438,0.000509438
54,351.75,0.78154,0.89434,0.01021,0.73808,0.77645,0.79409,0.67277,0.78082,1.06561,0.01346,0.000491755,0.000491755,0.000491755
55,357.88,0.73139,0.90888,0.00958,0.74437,0.7785,0.7956,0.68079,0.78845,0.87714,0.01356,0.000474071,0.000474071,0.000474071
56,364.033,0.75845,0.92314,0.00919,0.69554,0.72381,0.76704,0.64186,0.8021,0.94674,0.01545,0.000456387,0.000456387,0.000456387
57,370.178,0.77073,0.87963,0.0097,0.80404,0.73591,0.80035,0.67414,0.7963,0.916,0.01434,0.000438703,0.000438703,0.000438703
58,376.385,0.72909,0.83453,0.0094,0.78228,0.63015,0.75173,0.62787,0.77685,0.97386,0.01349,0.000421019,0.000421019,0.000421019
59,382.479,0.73989,0.91373,0.0095,0.70876,0.79855,0.78777,0.66672,0.7557,0.94808,0.01378,0.000403335,0.000403335,0.000403335
60,388.669,0.73779,0.79919,0.00892,0.80052,0.75675,0.81542,0.69311,0.73317,0.89839,0.01322,0.000385651,0.000385651,0.000385651
61,394.894,0.75522,0.85623,0.00891,0.82384,0.77098,0.83212,0.7126,0.71685,0.86673,0.01313,0.000367967,0.000367967,0.000367967
62,401.089,0.71108,0.814,0.00894,0.8115,0.75657,0.82542,0.70831,0.69548,0.85248,0.01292,0.000350284,0.000350284,0.000350284
63,407.258,0.70603,0.81045,0.009,0.80993,0.77902,0.82258,0.70927,0.71926,0.85756,0.01264,0.0003326,0.0003326,0.0003326
