epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4061,0.93501,7.37688,0.01227,0.61891,0.47768,0.5153,0.37224,0.87175,9.93088,0.01238,0.000413165,0.000413165,0.000413165
2,77.1491,0.9164,4.46722,0.01186,0.68204,0.85339,0.80841,0.637,0.85686,5.34766,0.0137,0.000822986,0.000822986,0.000822986
3,101.589,0.9237,2.67709,0.01208,0.78826,0.7926,0.92757,0.71005,0.90851,2.75499,0.01388,0.00122593,0.00122593,0.00122593
4,126.116,0.89843,1.57472,0.01182,0.85387,0.92136,0.93796,0.77988,0.73761,1.48997,0.01129,0.00121906,0.00121906,0.00121906
5,150.615,0.88444,1.07412,0.01163,0.90883,0.95531,0.98597,0.78292,0.80021,0.96667,0.01136,0.00120875,0.00120875,0.00120875
6,175.134,0.83639,0.83233,0.01066,0.91194,0.97334,0.9854,0.81504,0.71117,0.69959,0.01012,0.00119844,0.00119844,0.00119844
7,199.083,0.85538,0.73132,0.0106,0.92192,0.94818,0.98709,0.81537,0.7223,0.59252,0.01018,0.00118812,0.00118812,0.00118812
8,223.481,0.81518,0.63919,0.0103,0.94217,0.93595,0.98498,0.8296,0.65631,0.47032,0.00991,0.00117781,0.00117781,0.00117781
9,247.781,0.81523,0.58477,0.01039,0.96391,0.95492,0.98812,0.8213,0.7275,0.48962,0.01113,0.0011675,0.0011675,0.0011675
10,272.029,0.78003,0.53413,0.01001,0.92749,0.9324,0.98186,0.80141,0.73142,0.4266,0.01134,0.00115719,0.00115719,0.00115719
11,296.043,0.76415,0.48476,0.00966,0.92412,0.96854,0.99027,0.82259,0.72026,0.39766,0.01093,0.00114688,0.00114688,0.00114688
12,320.176,0.76232,0.50551,0.00983,0.92324,0.97617,0.98417,0.80188,0.7553,0.3782,0.01167,0.00113656,0.00113656,0.00113656
13,344.284,0.75925,0.4651,0.00966,0.93566,0.97347,0.9898,0.7992,0.75957,0.34515,0.01093,0.00112625,0.00112625,0.00112625
14,368.39,0.73177,0.46242,0.0091,0.97436,0.90492,0.98055,0.81613,0.70124,0.35805,0.01004,0.00111594,0.00111594,0.00111594
15,392.586,0.71648,0.44498,0.00894,0.94618,0.98474,0.98949,0.8063,0.75145,0.31789,0.01051,0.00110563,0.00110563,0.00110563
16,416.612,0.73532,0.4185,0.00942,0.94276,0.92636,0.98623,0.82121,0.68871,0.33596,0.01005,0.00109531,0.00109531,0.00109531
17,440.687,0.72001,0.40815,0.00873,0.96829,0.91489,0.98926,0.84684,0.66322,0.31719,0.01009,0.001085,0.001085,0.001085
18,464.88,0.73089,0.40106,0.0091,0.9215,0.96167,0.9887,0.83779,0.65407,0.29606,0.00951,0.00107469,0.00107469,0.00107469
19,488.916,0.71045,0.4028,0.00895,0.90803,0.98631,0.98945,0.848,0.63753,0.28063,0.00931,0.00106437,0.00106437,0.00106437
20,513.084,0.7067,0.38943,0.00897,0.96124,0.99846,0.99435,0.83881,0.65918,0.2622,0.00986,0.00105406,0.00105406,0.00105406
21,537.135,0.71426,0.38578,0.00887,0.97486,0.96862,0.9924,0.83739,0.64682,0.25524,0.00962,0.00104375,0.00104375,0.00104375
22,561.33,0.69915,0.37588,0.00863,0.95563,0.91549,0.98498,0.82728,0.66846,0.31399,0.00938,0.00103344,0.00103344,0.00103344
23,585.424,0.69728,0.3814,0.00863,0.96653,0.97749,0.98588,0.82072,0.65839,0.27853,0.00924,0.00102312,0.00102312,0.00102312
24,609.479,0.69782,0.37506,0.00853,0.98352,0.98087,0.99372,0.82606,0.65647,0.23409,0.00945,0.00101281,0.00101281,0.00101281
25,633.7,0.69326,0.35722,0.00877,0.91549,0.9576,0.98784,0.82956,0.70106,0.29521,0.01008,0.0010025,0.0010025,0.0010025
26,657.735,0.66218,0.37106,0.00799,0.94754,0.98519,0.99236,0.84052,0.65912,0.24101,0.00949,0.000992188,0.000992188,0.000992188
27,681.856,0.66549,0.34497,0.00827,0.98164,0.99057,0.9944,0.82692,0.70982,0.24654,0.01058,0.000981875,0.000981875,0.000981875
28,706,0.64788,0.33839,0.00811,0.94745,1,0.99316,0.85014,0.6213,0.23271,0.00867,0.000971562,0.000971562,0.000971562
29,730.235,0.66527,0.33248,0.00824,0.98026,0.97501,0.99445,0.82653,0.71557,0.24338,0.01105,0.00096125,0.00096125,0.00096125
